ID	HusbEd	HusbRace	RaceDiff	Time	Divorce
9	1	0	0	10.546	0
11	0	0	0	34.943	0
13	0	0	0	2.834	1
15	0	0	0	17.532	1
33	1	0	0	1.418	0
36	0	0	0	48.033	0
43	2	0	0	16.706	0
47	0	0	0	24.999	0
50	0	0	0	24.999	0
56	0	1	0	3.869	0
63	1	1	0	7.732	0
66	1	0	0	5.2105	1
70	1	0	0	15.444	0
77	2	0	0	4.085	0
80	0	0	0	17.333	0
84	1	0	0	16.331	0
87	1	0	0	35.335	0
90	0	0	0	37.67	0
91	1	0	0	19.1865	1
94	1	0	0	22.697	0
109	0	0	0	50.776	0
111	0	0	0	37.495	0
114	0	0	0	30.738	0
116	0	0	0	48.654	0
118	0	0	0	33.024	0
120	0	0	0	36.668	0
122	2	0	0	27.992	0
124	2	0	0	27.789	0
128	1	0	0	3.2525	1
129	1	0	0	5.67	1
137	0	0	0	17.999	0
139	0	0	0	7.5975	1
141	0	0	0	1.791	0
145	0	0	0	2.475	0
148	1	0	0	35.959	0
153	1	0	0	13.136	0
160	1	0	0	5.717	0
162	1	0	0	5.717	0
164	1	0	0	26.278	0
165	1	0	0	4.331	1
166	0	0	0	8.893	0
170	1	0	0	15.743	0
183	0	0	0	4.671	1
194	0	0	0	48.356	0
196	0	0	0	39.332	0
199	0	0	0	39.332	0
212	1	0	0	61.525	0
214	1	0	0	12.999	0
219	1	0	0	14.817	0
221	0	0	0	33.755	1
223	0	0	0	56.999	0
226	1	0	0	3.606	0
228	0	0	0	3.606	0
230	0	1	0	16.999	0
232	0	1	0	42.015	1
234	1	0	0	37.837	0
237	1	1	0	18.16	0
245	1	0	0	18.018	0
254	1	0	0	13.667	1
258	1	0	0	3.584	1
264	0	0	0	2.502	1
268	2	0	0	14.7135	1
271	0	0	0	35.932	0
275	2	0	0	13.864	0
280	1	0	0	25.8015	1
287	0	0	0	14.3495	1
289	0	0	0	57.506	0
293	1	0	0	7.915	1
295	0	0	0	7.162	0
298	2	0	0	41.971	0
300	2	0	0	12.991	0
302	1	0	0	18.3355	1
305	1	0	0	18.809	0
310	0	0	0	1.864	0
312	1	0	0	53.084	0
315	1	0	0	17.2895	1
320	1	0	0	32.167	1
325	1	0	0	18.338	0
329	1	0	0	23.469	0
331	2	0	0	34.762	0
333	1	0	0	4.4325	1
336	1	0	0	19.081	0
339	0	0	0	35.8465	1
341	1	0	0	7.247	1
342	1	0	0	28.151	0
344	1	0	0	15.9975	1
346	0	0	0	2.2125	1
350	2	0	0	8.789	0
351	2	0	0	8.789	0
353	2	0	0	17.999	0
357	2	0	0	14.084	0
362	0	0	0	27.009	0
364	0	1	0	42.313	0
370	0	0	0	9.002	0
372	0	0	0	35.001	0
375	0	0	0	35.001	0
377	0	0	0	5.0025	1
385	1	0	0	37.248	0
390	0	0	0	34.653	0
392	1	0	0	16.605	0
394	0	0	0	44.841	0
398	1	0	0	11.671	0
399	1	0	0	20.504	0
405	2	0	0	6.913	0
408	0	0	0	22.404	0
410	0	0	0	31.485	0
418	0	0	0	3.4965	1
425	0	0	0	24	0
427	0	0	0	33.851	0
428	1	0	0	14.576	0
431	0	0	0	2.0015	1
434	1	0	0	52.663	0
437	0	0	0	2.6095	1
439	2	0	0	22.719	0
445	1	0	0	4.5805	1
447	0	0	0	43.751	0
449	0	0	0	42.062	0
451	2	0	0	29.07	0
454	2	0	0	29.07	0
457	1	0	0	56.052	0
462	1	0	0	17.081	1
468	1	0	0	27.168	0
470	0	0	0	6.001	0
475	1	0	0	5.919	1
477	1	0	0	20	0
479	2	0	0	10.456	1
485	0	0	0	26.971	0
493	0	0	0	53.84	0
496	1	1	0	11.581	1
502	2	1	0	22.976	0
504	0	0	0	32.999	0
508	1	0	0	8.3615	1
510	1	0	0	17.084	1
512	1	0	0	8.003	0
513	1	0	0	3.775	0
520	1	0	0	3.565	0
528	0	0	0	4.977	0
530	1	0	0	5.246	0
537	1	0	0	1.257	0
551	1	0	0	0.6	0
553	0	0	0	40.501	0
559	1	0	0	49.002	0
561	0	0	0	6.0015	1
566	1	0	0	1.878	0
576	1	1	0	7.003	0
579	1	1	0	7.003	0
581	2	0	0	41.199	0
584	1	0	0	47.546	0
590	1	0	0	21.467	0
592	2	0	0	21.002	1
600	1	0	0	21.467	0
602	0	0	0	24.832	0
604	0	0	0	41.999	0
606	0	0	0	16.972	0
607	1	1	0	14.867	0
613	1	1	0	7.1675	1
615	0	1	0	21.498	1
616	1	1	0	7.1675	1
620	1	0	0	13.421	0
628	1	0	0	15.849	0
638	1	0	0	19.425	0
676	2	0	0	9.336	1
684	2	0	0	10.587	1
686	0	0	0	8.668	1
688	0	0	0	34.004	0
690	0	0	0	31.997	0
693	1	0	0	9.5825	1
700	1	0	0	48.46	0
702	1	0	0	12.527	1
705	1	0	0	20.252	0
713	1	0	0	5.002	1
716	2	0	0	4.4955	1
718	1	0	0	6.776	1
720	1	0	0	12	0
721	1	0	0	13.5795	1
725	1	0	0	11.291	1
728	0	0	0	40.602	0
730	0	0	0	54.412	0
734	1	0	0	9.563	0
740	1	0	0	7.901	0
748	2	0	0	24.03	0
751	2	0	0	7.901	0
753	0	0	0	43.685	0
756	0	0	0	43.685	0
759	1	0	0	29.366	0
763	1	0	0	2.554	0
769	1	0	0	4.668	1
771	1	0	0	4.9585	1
774	1	0	0	2.554	0
780	1	0	0	4.7365	1
786	1	0	0	1.624	0
789	2	0	0	42.919	0
791	0	0	0	14.972	1
794	1	0	0	3.748	1
798	1	0	0	1.106	0
807	1	0	0	2.6695	1
809	0	0	0	34.998	0
811	0	0	0	34.075	1
814	1	1	0	20.999	0
818	0	0	0	46.979	0
820	2	0	0	28.775	0
823	1	0	0	61.407	0
829	0	0	0	2.998	0
831	2	0	0	22.475	0
840	2	0	0	10.743	0
842	0	0	0	35.335	0
844	1	0	0	32.175	0
846	0	0	0	38.149	0
852	1	0	0	11.2525	1
